usuario,puntuacion,fecha,titulo,texto_comentario,fecha_sistema,texto_limpio,texto_original,texto_sin_stopwords,texto_comentario_limpio,texto_comentario_sin_stopwords,tokens,tokens_sin_stopwords,num_palabras,num_palabras_limpias,longitud_comentario,conteo_palabras_unicas
CORTES VARGAS MARIA DEL SOCORR,1,2025-12-19T10:17:55.000Z,Sin título,"He comprado un pack de canapé colchón y dos almohadas y solo me ha llegado el canapé. Luego en la app de Amazon me pone que pedido entregado al cliente,y no se encuentra la manera de reclamarle direct...Ver más",2025-12-22 00:22:41,comprado pack canape colchon dos almohadas llegado canape luego app pone pedido entregado cliente encuentra manera reclamarle direct,"He comprado un pack de canapé colchón y dos almohadas y solo me ha llegado el canapé. Luego en la app de Amazon me pone que pedido entregado al cliente,y no se encuentra la manera de reclamarle direct...Ver más",comprado pack canape colchon dos almohadas llegado canape luego app pone pedido entregado cliente encuentra manera reclamarle direct,he comprado un pack de canape colchon y dos almohadas y solo me ha llegado el canape luego en la app de amazon me pone que pedido entregado al cliente y no se encuentra la manera de reclamarle direct ver mas,comprado pack canape colchon dos almohadas llegado canape luego app pone pedido entregado cliente encuentra manera reclamarle direct,"['he', 'comprado', 'un', 'pack', 'de', 'canape', 'colchon', 'y', 'dos', 'almohadas', 'y', 'solo', 'me', 'ha', 'llegado', 'el', 'canape', 'luego', 'en', 'la', 'app', 'de', 'amazon', 'me', 'pone', 'que', 'pedido', 'entregado', 'al', 'cliente', 'y', 'no', 'se', 'encuentra', 'la', 'manera', 'de', 'reclamarle', 'direct', 'ver', 'mas']","['comprado', 'pack', 'canape', 'colchon', 'dos', 'almohadas', 'llegado', 'canape', 'luego', 'app', 'pone', 'pedido', 'entregado', 'cliente', 'encuentra', 'manera', 'reclamarle', 'direct']",41,18,210,17
JoseMa Ramon Poch,1,2025-12-17T19:39:13.000Z,Sin título,Atencion al cliente de amzon cuado no les interesa las criticas te cuegan el telefono una falta de educacion himpresionante.Una prepotencia total mejor utilizar otras plataformas de compra mas seguras...Ver más,2025-12-22 00:22:41,atencion cliente amzon cuado interesa criticas cuegan telefono falta educacion himpresionante prepotencia total mejor utilizar plataformas compra seguras,Atencion al cliente de amzon cuado no les interesa las criticas te cuegan el telefono una falta de educacion himpresionante.Una prepotencia total mejor utilizar otras plataformas de compra mas seguras...Ver más,atencion cliente amzon cuado interesa criticas cuegan telefono falta educacion himpresionante prepotencia total mejor utilizar plataformas compra seguras,atencion al cliente de amzon cuado no les interesa las criticas te cuegan el telefono una falta de educacion himpresionante una prepotencia total mejor utilizar otras plataformas de compra mas seguras ver mas,atencion cliente amzon cuado interesa criticas cuegan telefono falta educacion himpresionante prepotencia total mejor utilizar plataformas compra seguras,"['atencion', 'al', 'cliente', 'de', 'amzon', 'cuado', 'no', 'les', 'interesa', 'las', 'criticas', 'te', 'cuegan', 'el', 'telefono', 'una', 'falta', 'de', 'educacion', 'himpresionante', 'una', 'prepotencia', 'total', 'mejor', 'utilizar', 'otras', 'plataformas', 'de', 'compra', 'mas', 'seguras', 'ver', 'mas']","['atencion', 'cliente', 'amzon', 'cuado', 'interesa', 'criticas', 'cuegan', 'telefono', 'falta', 'educacion', 'himpresionante', 'prepotencia', 'total', 'mejor', 'utilizar', 'plataformas', 'compra', 'seguras']",33,18,210,18
Inma Marin,1,2025-12-10T17:36:43.000Z,Sin título,"Soy prime desde hace años ,antes era facil contactar con amazon si tenias u. Problema ,ahora es imposible ni llamar ni q te llamen para una solucion , e oido q con temu es muy facil habra q probar a c...Ver más",2025-12-22 00:22:41,prime anos facil contactar tenias u problema ahora imposible llamar q llamen solucion oido q temu facil habra q probar c,"Soy prime desde hace años ,antes era facil contactar con amazon si tenias u. Problema ,ahora es imposible ni llamar ni q te llamen para una solucion , e oido q con temu es muy facil habra q probar a c...Ver más",prime anos facil contactar tenias u problema ahora imposible llamar q llamen solucion oido q temu facil habra q probar c,soy prime desde hace anos antes era facil contactar con amazon si tenias u problema ahora es imposible ni llamar ni q te llamen para una solucion e oido q con temu es muy facil habra q probar a c ver mas,prime anos facil contactar tenias u problema ahora imposible llamar q llamen solucion oido q temu facil habra q probar c,"['soy', 'prime', 'desde', 'hace', 'anos', 'antes', 'era', 'facil', 'contactar', 'con', 'amazon', 'si', 'tenias', 'u', 'problema', 'ahora', 'es', 'imposible', 'ni', 'llamar', 'ni', 'q', 'te', 'llamen', 'para', 'una', 'solucion', 'e', 'oido', 'q', 'con', 'temu', 'es', 'muy', 'facil', 'habra', 'q', 'probar', 'a', 'c', 'ver', 'mas']","['prime', 'anos', 'facil', 'contactar', 'tenias', 'u', 'problema', 'ahora', 'imposible', 'llamar', 'q', 'llamen', 'solucion', 'oido', 'q', 'temu', 'facil', 'habra', 'q', 'probar', 'c']",42,21,210,18
José Luis Romero Romero,1,2025-12-15T12:27:17.000Z,Sin título,"Suscripción activada por error
La suscripción para ver Prime Video sin anuncios se activa con un solo clic y sin confirmación en dos pasos. Me suscribí por error, no utilicé el servicio y aun así se...Ver más",2025-12-22 00:22:41,suscripcion activada error suscripcion prime video anuncios activa clic confirmacion dos pasos suscribi error utilice servicio aun asi,"Suscripción activada por error
La suscripción para ver Prime Video sin anuncios se activa con un solo clic y sin confirmación en dos pasos. Me suscribí por error, no utilicé el servicio y aun así se...Ver más",suscripcion activada error suscripcion prime video anuncios activa clic confirmacion dos pasos suscribi error utilice servicio aun asi,suscripcion activada por error la suscripcion para ver prime video sin anuncios se activa con un solo clic y sin confirmacion en dos pasos me suscribi por error no utilice el servicio y aun asi se ver mas,suscripcion activada error suscripcion prime video anuncios activa clic confirmacion dos pasos suscribi error utilice servicio aun asi,"['suscripcion', 'activada', 'por', 'error', 'la', 'suscripcion', 'para', 'ver', 'prime', 'video', 'sin', 'anuncios', 'se', 'activa', 'con', 'un', 'solo', 'clic', 'y', 'sin', 'confirmacion', 'en', 'dos', 'pasos', 'me', 'suscribi', 'por', 'error', 'no', 'utilice', 'el', 'servicio', 'y', 'aun', 'asi', 'se', 'ver', 'mas']","['suscripcion', 'activada', 'error', 'suscripcion', 'prime', 'video', 'anuncios', 'activa', 'clic', 'confirmacion', 'dos', 'pasos', 'suscribi', 'error', 'utilice', 'servicio', 'aun', 'asi']",38,18,208,16
Antonio,3,2025-12-03T02:54:57.000Z,Sin título,"Yo no compro en Amazon. Prefiero las tiendas físicas donde puedo ver y tocar los productos. Pero mi hija sí compra mucho y después de algunas experiencias de tener que devolver los productos, debo adm...Ver más",2025-12-22 00:22:41,compro prefiero tiendas fisicas puedo tocar productos hija compra despues experiencias tener devolver productos debo adm,"Yo no compro en Amazon. Prefiero las tiendas físicas donde puedo ver y tocar los productos. Pero mi hija sí compra mucho y después de algunas experiencias de tener que devolver los productos, debo adm...Ver más",compro prefiero tiendas fisicas puedo tocar productos hija compra despues experiencias tener devolver productos debo adm,yo no compro en amazon prefiero las tiendas fisicas donde puedo ver y tocar los productos pero mi hija si compra mucho y despues de algunas experiencias de tener que devolver los productos debo adm ver mas,compro prefiero tiendas fisicas puedo tocar productos hija compra despues experiencias tener devolver productos debo adm,"['yo', 'no', 'compro', 'en', 'amazon', 'prefiero', 'las', 'tiendas', 'fisicas', 'donde', 'puedo', 'ver', 'y', 'tocar', 'los', 'productos', 'pero', 'mi', 'hija', 'si', 'compra', 'mucho', 'y', 'despues', 'de', 'algunas', 'experiencias', 'de', 'tener', 'que', 'devolver', 'los', 'productos', 'debo', 'adm', 'ver', 'mas']","['compro', 'prefiero', 'tiendas', 'fisicas', 'puedo', 'tocar', 'productos', 'hija', 'compra', 'despues', 'experiencias', 'tener', 'devolver', 'productos', 'debo', 'adm']",37,16,210,15
Alicia,1,2025-12-13T22:13:21.000Z,Sin título,Tenían que hacerme una devolución y nunca la hicieron. Decían que la habían hecho a la cuenta en vez de a la tarjeta y llevo tres meses pidiéndoles el ARN o el justificante de la devolución y nunca me...Ver más,2025-12-22 00:22:41,tenian hacerme devolucion nunca hicieron decian habian hecho cuenta tarjeta llevo tres meses pidiendoles arn justificante devolucion nunca,Tenían que hacerme una devolución y nunca la hicieron. Decían que la habían hecho a la cuenta en vez de a la tarjeta y llevo tres meses pidiéndoles el ARN o el justificante de la devolución y nunca me...Ver más,tenian hacerme devolucion nunca hicieron decian habian hecho cuenta tarjeta llevo tres meses pidiendoles arn justificante devolucion nunca,tenian que hacerme una devolucion y nunca la hicieron decian que la habian hecho a la cuenta en vez de a la tarjeta y llevo tres meses pidiendoles el arn o el justificante de la devolucion y nunca me ver mas,tenian hacerme devolucion nunca hicieron decian habian hecho cuenta tarjeta llevo tres meses pidiendoles arn justificante devolucion nunca,"['tenian', 'que', 'hacerme', 'una', 'devolucion', 'y', 'nunca', 'la', 'hicieron', 'decian', 'que', 'la', 'habian', 'hecho', 'a', 'la', 'cuenta', 'en', 'vez', 'de', 'a', 'la', 'tarjeta', 'y', 'llevo', 'tres', 'meses', 'pidiendoles', 'el', 'arn', 'o', 'el', 'justificante', 'de', 'la', 'devolucion', 'y', 'nunca', 'me', 'ver', 'mas']","['tenian', 'hacerme', 'devolucion', 'nunca', 'hicieron', 'decian', 'habian', 'hecho', 'cuenta', 'tarjeta', 'llevo', 'tres', 'meses', 'pidiendoles', 'arn', 'justificante', 'devolucion', 'nunca']",41,18,210,16
Mariluz Aramburu,1,2025-12-07T15:32:14.000Z,Sin título,"Les compre un radiador que me llegó en mal estafó con pinta de usado, vinieron a recogerlo el 24 de Noviembre, estamos a 8 de diciembre y después de 50 llamadas no me hacen el reembolso de 60 euros, m...Ver más",2025-12-22 00:22:41,compre radiador llego mal estafo pinta usado vinieron recogerlo noviembre diciembre despues llamadas hacen reembolso euros m,"Les compre un radiador que me llegó en mal estafó con pinta de usado, vinieron a recogerlo el 24 de Noviembre, estamos a 8 de diciembre y después de 50 llamadas no me hacen el reembolso de 60 euros, m...Ver más",compre radiador llego mal estafo pinta usado vinieron recogerlo noviembre diciembre despues llamadas hacen reembolso euros m,les compre un radiador que me llego en mal estafo con pinta de usado vinieron a recogerlo el de noviembre estamos a de diciembre y despues de llamadas no me hacen el reembolso de euros m ver mas,compre radiador llego mal estafo pinta usado vinieron recogerlo noviembre diciembre despues llamadas hacen reembolso euros m,"['les', 'compre', 'un', 'radiador', 'que', 'me', 'llego', 'en', 'mal', 'estafo', 'con', 'pinta', 'de', 'usado', 'vinieron', 'a', 'recogerlo', 'el', 'de', 'noviembre', 'estamos', 'a', 'de', 'diciembre', 'y', 'despues', 'de', 'llamadas', 'no', 'me', 'hacen', 'el', 'reembolso', 'de', 'euros', 'm', 'ver', 'mas']","['compre', 'radiador', 'llego', 'mal', 'estafo', 'pinta', 'usado', 'vinieron', 'recogerlo', 'noviembre', 'diciembre', 'despues', 'llamadas', 'hacen', 'reembolso', 'euros', 'm']",38,17,210,17
Al R,1,2025-12-02T18:48:33.000Z,Sin título,"Intento comprar un producto. Me falla el pago por saldo insuficiente. Vuelvo a pedir el producto y pago con otra tarjeta. Me cancelan el pedido por actividad ""sospechosa"". Nadie me responde, nadie lo...Ver más",2025-12-22 00:22:41,intento comprar falla pago saldo insuficiente vuelvo pedir pago tarjeta cancelan pedido actividad sospechosa nadie responde nadie,"Intento comprar un producto. Me falla el pago por saldo insuficiente. Vuelvo a pedir el producto y pago con otra tarjeta. Me cancelan el pedido por actividad ""sospechosa"". Nadie me responde, nadie lo...Ver más",intento comprar falla pago saldo insuficiente vuelvo pedir pago tarjeta cancelan pedido actividad sospechosa nadie responde nadie,intento comprar un producto me falla el pago por saldo insuficiente vuelvo a pedir el producto y pago con otra tarjeta me cancelan el pedido por actividad sospechosa nadie me responde nadie lo ver mas,intento comprar falla pago saldo insuficiente vuelvo pedir pago tarjeta cancelan pedido actividad sospechosa nadie responde nadie,"['intento', 'comprar', 'un', 'producto', 'me', 'falla', 'el', 'pago', 'por', 'saldo', 'insuficiente', 'vuelvo', 'a', 'pedir', 'el', 'producto', 'y', 'pago', 'con', 'otra', 'tarjeta', 'me', 'cancelan', 'el', 'pedido', 'por', 'actividad', 'sospechosa', 'nadie', 'me', 'responde', 'nadie', 'lo', 'ver', 'mas']","['intento', 'comprar', 'falla', 'pago', 'saldo', 'insuficiente', 'vuelvo', 'pedir', 'pago', 'tarjeta', 'cancelan', 'pedido', 'actividad', 'sospechosa', 'nadie', 'responde', 'nadie']",35,17,209,15
David,1,2025-12-09T16:35:13.000Z,Sin título,"He comprado una tarjeta SD Kingston de 32 GB directamente en Amazon y ha fallado prematuramente, perdiendo todas mis fotos y vídeos. He sido derivado varias veces al fabricante y me han cerrado el c...Ver más",2025-12-22 00:22:41,comprado tarjeta sd kingston gb directamente fallado prematuramente perdiendo todas fotos videos sido derivado varias veces fabricante cerrado c,"He comprado una tarjeta SD Kingston de 32 GB directamente en Amazon y ha fallado prematuramente, perdiendo todas mis fotos y vídeos. He sido derivado varias veces al fabricante y me han cerrado el c...Ver más",comprado tarjeta sd kingston gb directamente fallado prematuramente perdiendo todas fotos videos sido derivado varias veces fabricante cerrado c,he comprado una tarjeta sd kingston de gb directamente en amazon y ha fallado prematuramente perdiendo todas mis fotos y videos he sido derivado varias veces al fabricante y me han cerrado el c ver mas,comprado tarjeta sd kingston gb directamente fallado prematuramente perdiendo todas fotos videos sido derivado varias veces fabricante cerrado c,"['he', 'comprado', 'una', 'tarjeta', 'sd', 'kingston', 'de', 'gb', 'directamente', 'en', 'amazon', 'y', 'ha', 'fallado', 'prematuramente', 'perdiendo', 'todas', 'mis', 'fotos', 'y', 'videos', 'he', 'sido', 'derivado', 'varias', 'veces', 'al', 'fabricante', 'y', 'me', 'han', 'cerrado', 'el', 'c', 'ver', 'mas']","['comprado', 'tarjeta', 'sd', 'kingston', 'gb', 'directamente', 'fallado', 'prematuramente', 'perdiendo', 'todas', 'fotos', 'videos', 'sido', 'derivado', 'varias', 'veces', 'fabricante', 'cerrado', 'c']",36,19,208,19
Sofía Fondón,1,2025-12-12T15:05:04.000Z,Sin título,"Te dicen y se comprometen en Atención al Cliente por escrito y luego ellos mismos dicen que eso no es cierto, después de mil  mensajes mareando.  Pésima experiencia y servicio al cliente, engaño y pér...Ver más",2025-12-22 00:22:41,dicen comprometen atencion cliente escrito luego mismos dicen cierto despues mil mensajes mareando pesima experiencia servicio cliente engano per,"Te dicen y se comprometen en Atención al Cliente por escrito y luego ellos mismos dicen que eso no es cierto, después de mil  mensajes mareando.  Pésima experiencia y servicio al cliente, engaño y pér...Ver más",dicen comprometen atencion cliente escrito luego mismos dicen cierto despues mil mensajes mareando pesima experiencia servicio cliente engano per,te dicen y se comprometen en atencion al cliente por escrito y luego ellos mismos dicen que eso no es cierto despues de mil mensajes mareando pesima experiencia y servicio al cliente engano y per ver mas,dicen comprometen atencion cliente escrito luego mismos dicen cierto despues mil mensajes mareando pesima experiencia servicio cliente engano per,"['te', 'dicen', 'y', 'se', 'comprometen', 'en', 'atencion', 'al', 'cliente', 'por', 'escrito', 'y', 'luego', 'ellos', 'mismos', 'dicen', 'que', 'eso', 'no', 'es', 'cierto', 'despues', 'de', 'mil', 'mensajes', 'mareando', 'pesima', 'experiencia', 'y', 'servicio', 'al', 'cliente', 'engano', 'y', 'per', 'ver', 'mas']","['dicen', 'comprometen', 'atencion', 'cliente', 'escrito', 'luego', 'mismos', 'dicen', 'cierto', 'despues', 'mil', 'mensajes', 'mareando', 'pesima', 'experiencia', 'servicio', 'cliente', 'engano', 'per']",37,19,210,17
Teresa Díaz,1,2025-12-09T13:18:01.000Z,Sin título,"Me han cobrado por duplicado una compra y no hay manera de solucionarlo.  La persona que me atendió, me dice que no ve reflejado el cobro duplicado,  siendo que el monto me lo cobraron con uno o dos d...Ver más",2025-12-22 00:22:41,cobrado duplicado compra manera solucionarlo persona atendio dice ve reflejado cobro duplicado siendo monto cobraron dos d,"Me han cobrado por duplicado una compra y no hay manera de solucionarlo.  La persona que me atendió, me dice que no ve reflejado el cobro duplicado,  siendo que el monto me lo cobraron con uno o dos d...Ver más",cobrado duplicado compra manera solucionarlo persona atendio dice ve reflejado cobro duplicado siendo monto cobraron dos d,me han cobrado por duplicado una compra y no hay manera de solucionarlo la persona que me atendio me dice que no ve reflejado el cobro duplicado siendo que el monto me lo cobraron con uno o dos d ver mas,cobrado duplicado compra manera solucionarlo persona atendio dice ve reflejado cobro duplicado siendo monto cobraron dos d,"['me', 'han', 'cobrado', 'por', 'duplicado', 'una', 'compra', 'y', 'no', 'hay', 'manera', 'de', 'solucionarlo', 'la', 'persona', 'que', 'me', 'atendio', 'me', 'dice', 'que', 'no', 've', 'reflejado', 'el', 'cobro', 'duplicado', 'siendo', 'que', 'el', 'monto', 'me', 'lo', 'cobraron', 'con', 'uno', 'o', 'dos', 'd', 'ver', 'mas']","['cobrado', 'duplicado', 'compra', 'manera', 'solucionarlo', 'persona', 'atendio', 'dice', 've', 'reflejado', 'cobro', 'duplicado', 'siendo', 'monto', 'cobraron', 'dos', 'd']",41,17,210,16
Victoria,1,2025-11-16T17:50:25.000Z,Sin título,"Amazon está entrando en su decandencia!!! Viendo una peli sale la pregunta saltar anuncio , aceptas y zas has comprado una suscripción por 1’99€ , dicha suscripción solo pueden anularla ellos y ya no...Ver más",2025-12-22 00:22:41,entrando decandencia viendo peli sale pregunta saltar anuncio aceptas zas comprado suscripcion dicha suscripcion pueden anularla,"Amazon está entrando en su decandencia!!! Viendo una peli sale la pregunta saltar anuncio , aceptas y zas has comprado una suscripción por 1’99€ , dicha suscripción solo pueden anularla ellos y ya no...Ver más",entrando decandencia viendo peli sale pregunta saltar anuncio aceptas zas comprado suscripcion dicha suscripcion pueden anularla,amazon esta entrando en su decandencia viendo una peli sale la pregunta saltar anuncio aceptas y zas has comprado una suscripcion por dicha suscripcion solo pueden anularla ellos y ya no ver mas,entrando decandencia viendo peli sale pregunta saltar anuncio aceptas zas comprado suscripcion dicha suscripcion pueden anularla,"['amazon', 'esta', 'entrando', 'en', 'su', 'decandencia', 'viendo', 'una', 'peli', 'sale', 'la', 'pregunta', 'saltar', 'anuncio', 'aceptas', 'y', 'zas', 'has', 'comprado', 'una', 'suscripcion', 'por', 'dicha', 'suscripcion', 'solo', 'pueden', 'anularla', 'ellos', 'y', 'ya', 'no', 'ver', 'mas']","['entrando', 'decandencia', 'viendo', 'peli', 'sale', 'pregunta', 'saltar', 'anuncio', 'aceptas', 'zas', 'comprado', 'suscripcion', 'dicha', 'suscripcion', 'pueden', 'anularla']",33,16,209,15
Women's Sports Photography Jos,1,2025-12-11T04:46:10.000Z,Sin título,Amazon discrimina y roba a las personas mayores. Son unos ladrones y unos estafadores. Piden que verifiquen su cuenta Amazon a los ancianos con su DNI. Después dicen que no aceptan los DNI de las per...Ver más,2025-12-22 00:22:41,discrimina roba personas mayores ladrones estafadores piden verifiquen cuenta ancianos dni despues dicen aceptan dni per,Amazon discrimina y roba a las personas mayores. Son unos ladrones y unos estafadores. Piden que verifiquen su cuenta Amazon a los ancianos con su DNI. Después dicen que no aceptan los DNI de las per...Ver más,discrimina roba personas mayores ladrones estafadores piden verifiquen cuenta ancianos dni despues dicen aceptan dni per,amazon discrimina y roba a las personas mayores son unos ladrones y unos estafadores piden que verifiquen su cuenta amazon a los ancianos con su dni despues dicen que no aceptan los dni de las per ver mas,discrimina roba personas mayores ladrones estafadores piden verifiquen cuenta ancianos dni despues dicen aceptan dni per,"['amazon', 'discrimina', 'y', 'roba', 'a', 'las', 'personas', 'mayores', 'son', 'unos', 'ladrones', 'y', 'unos', 'estafadores', 'piden', 'que', 'verifiquen', 'su', 'cuenta', 'amazon', 'a', 'los', 'ancianos', 'con', 'su', 'dni', 'despues', 'dicen', 'que', 'no', 'aceptan', 'los', 'dni', 'de', 'las', 'per', 'ver', 'mas']","['discrimina', 'roba', 'personas', 'mayores', 'ladrones', 'estafadores', 'piden', 'verifiquen', 'cuenta', 'ancianos', 'dni', 'despues', 'dicen', 'aceptan', 'dni', 'per']",38,16,209,15
JoseMa Ramon Poch,1,2025-12-16T18:20:55.000Z,Sin título,"Pongo una estrella,porque no puedo poner cero.
Mucho ojo con amazon filtra numeros de tarjetas a terceros,posibles estafas",2025-12-22 00:22:41,pongo estrella puedo poner cero ojo filtra numeros tarjetas terceros posibles estafas,"Pongo una estrella,porque no puedo poner cero.
Mucho ojo con amazon filtra numeros de tarjetas a terceros,posibles estafas",pongo estrella puedo poner cero ojo filtra numeros tarjetas terceros posibles estafas,pongo una estrella porque no puedo poner cero mucho ojo con amazon filtra numeros de tarjetas a terceros posibles estafas,pongo estrella puedo poner cero ojo filtra numeros tarjetas terceros posibles estafas,"['pongo', 'una', 'estrella', 'porque', 'no', 'puedo', 'poner', 'cero', 'mucho', 'ojo', 'con', 'amazon', 'filtra', 'numeros', 'de', 'tarjetas', 'a', 'terceros', 'posibles', 'estafas']","['pongo', 'estrella', 'puedo', 'poner', 'cero', 'ojo', 'filtra', 'numeros', 'tarjetas', 'terceros', 'posibles', 'estafas']",20,12,122,12
Dmtryck Again,1,2025-12-16T00:16:14.000Z,Sin título,"Compré una luz de emergencia que no funciona. Hice la devolución en un centro de recogida de Repsol y dicen no les ha llegado, que reclame en Repsol. Si sus centros de recogida no son fiables no es mi...Ver más",2025-12-22 00:22:41,compre luz emergencia funciona hice devolucion centro recogida repsol dicen llegado reclame repsol centros recogida fiables,"Compré una luz de emergencia que no funciona. Hice la devolución en un centro de recogida de Repsol y dicen no les ha llegado, que reclame en Repsol. Si sus centros de recogida no son fiables no es mi...Ver más",compre luz emergencia funciona hice devolucion centro recogida repsol dicen llegado reclame repsol centros recogida fiables,compre una luz de emergencia que no funciona hice la devolucion en un centro de recogida de repsol y dicen no les ha llegado que reclame en repsol si sus centros de recogida no son fiables no es mi ver mas,compre luz emergencia funciona hice devolucion centro recogida repsol dicen llegado reclame repsol centros recogida fiables,"['compre', 'una', 'luz', 'de', 'emergencia', 'que', 'no', 'funciona', 'hice', 'la', 'devolucion', 'en', 'un', 'centro', 'de', 'recogida', 'de', 'repsol', 'y', 'dicen', 'no', 'les', 'ha', 'llegado', 'que', 'reclame', 'en', 'repsol', 'si', 'sus', 'centros', 'de', 'recogida', 'no', 'son', 'fiables', 'no', 'es', 'mi', 'ver', 'mas']","['compre', 'luz', 'emergencia', 'funciona', 'hice', 'devolucion', 'centro', 'recogida', 'repsol', 'dicen', 'llegado', 'reclame', 'repsol', 'centros', 'recogida', 'fiables']",41,16,210,14
Consumer,1,2025-11-29T09:02:43.000Z,Sin título,"Después de esperar un tiempo por la compra de un producto, mi sorpresa es que Amazon con toda su cara dura, me dice que yo he cancelado el producto que he comprado sin explicaciones de nada de nada,y...Ver más",2025-12-22 00:22:41,despues esperar tiempo compra sorpresa toda cara dura dice cancelado comprado explicaciones,"Después de esperar un tiempo por la compra de un producto, mi sorpresa es que Amazon con toda su cara dura, me dice que yo he cancelado el producto que he comprado sin explicaciones de nada de nada,y...Ver más",despues esperar tiempo compra sorpresa toda cara dura dice cancelado comprado explicaciones,despues de esperar un tiempo por la compra de un producto mi sorpresa es que amazon con toda su cara dura me dice que yo he cancelado el producto que he comprado sin explicaciones de nada de nada y ver mas,despues esperar tiempo compra sorpresa toda cara dura dice cancelado comprado explicaciones,"['despues', 'de', 'esperar', 'un', 'tiempo', 'por', 'la', 'compra', 'de', 'un', 'producto', 'mi', 'sorpresa', 'es', 'que', 'amazon', 'con', 'toda', 'su', 'cara', 'dura', 'me', 'dice', 'que', 'yo', 'he', 'cancelado', 'el', 'producto', 'que', 'he', 'comprado', 'sin', 'explicaciones', 'de', 'nada', 'de', 'nada', 'y', 'ver', 'mas']","['despues', 'esperar', 'tiempo', 'compra', 'sorpresa', 'toda', 'cara', 'dura', 'dice', 'cancelado', 'comprado', 'explicaciones']",41,12,209,12
José manuel Costa Iglesias,1,2025-11-27T11:33:06.000Z,Sin título,"He comprado un horno Hisense en Diciembre del 2022, se avería en Septiembre del 2025, con lo que está en garantía, Hisense me remite vale de abono del producto, pero Amazon no me canjea ni horno ni me...Ver más",2025-12-22 00:22:41,comprado horno hisense diciembre averia septiembre garantia hisense remite vale abono canjea horno,"He comprado un horno Hisense en Diciembre del 2022, se avería en Septiembre del 2025, con lo que está en garantía, Hisense me remite vale de abono del producto, pero Amazon no me canjea ni horno ni me...Ver más",comprado horno hisense diciembre averia septiembre garantia hisense remite vale abono canjea horno,he comprado un horno hisense en diciembre del se averia en septiembre del con lo que esta en garantia hisense me remite vale de abono del producto pero amazon no me canjea ni horno ni me ver mas,comprado horno hisense diciembre averia septiembre garantia hisense remite vale abono canjea horno,"['he', 'comprado', 'un', 'horno', 'hisense', 'en', 'diciembre', 'del', 'se', 'averia', 'en', 'septiembre', 'del', 'con', 'lo', 'que', 'esta', 'en', 'garantia', 'hisense', 'me', 'remite', 'vale', 'de', 'abono', 'del', 'producto', 'pero', 'amazon', 'no', 'me', 'canjea', 'ni', 'horno', 'ni', 'me', 'ver', 'mas']","['comprado', 'horno', 'hisense', 'diciembre', 'averia', 'septiembre', 'garantia', 'hisense', 'remite', 'vale', 'abono', 'canjea', 'horno']",38,13,210,11
Grupo Trabajo,1,2025-12-19T14:44:36.000Z,Sin título,"Mucho cuidado con las devoluciones. Ya llevo dos paquetes que aparecen como ""no devueltos"" cuando en realidad ya los han recibido ellos y además el seguimiento indica ""entregado""en el centro de devol...Ver más",2025-12-22 00:22:41,cuidado devoluciones llevo dos paquetes aparecen devueltos realidad recibido ademas seguimiento indica entregado centro devol,"Mucho cuidado con las devoluciones. Ya llevo dos paquetes que aparecen como ""no devueltos"" cuando en realidad ya los han recibido ellos y además el seguimiento indica ""entregado""en el centro de devol...Ver más",cuidado devoluciones llevo dos paquetes aparecen devueltos realidad recibido ademas seguimiento indica entregado centro devol,mucho cuidado con las devoluciones ya llevo dos paquetes que aparecen como no devueltos cuando en realidad ya los han recibido ellos y ademas el seguimiento indica entregado en el centro de devol ver mas,cuidado devoluciones llevo dos paquetes aparecen devueltos realidad recibido ademas seguimiento indica entregado centro devol,"['mucho', 'cuidado', 'con', 'las', 'devoluciones', 'ya', 'llevo', 'dos', 'paquetes', 'que', 'aparecen', 'como', 'no', 'devueltos', 'cuando', 'en', 'realidad', 'ya', 'los', 'han', 'recibido', 'ellos', 'y', 'ademas', 'el', 'seguimiento', 'indica', 'entregado', 'en', 'el', 'centro', 'de', 'devol', 'ver', 'mas']","['cuidado', 'devoluciones', 'llevo', 'dos', 'paquetes', 'aparecen', 'devueltos', 'realidad', 'recibido', 'ademas', 'seguimiento', 'indica', 'entregado', 'centro', 'devol']",35,15,209,15
